Date,Price
5-Jun-00,0.948
6-Jun-00,0.9546
7-Jun-00,0.962
8-Jun-00,0.9562
9-Jun-00,0.9532
12-Jun-00,0.9535
13-Jun-00,0.9592
14-Jun-00,0.958
15-Jun-00,0.9544
16-Jun-00,0.9648
19-Jun-00,0.9569
20-Jun-00,0.9545
21-Jun-00,0.9444
22-Jun-00,0.9359
23-Jun-00,0.936
26-Jun-00,0.937
27-Jun-00,0.946
28-Jun-00,0.9417
29-Jun-00,0.952
30-Jun-00,0.9526
3-Jul-00,0.9504
4-Jul-00,0.9509
5-Jul-00,0.9531
6-Jul-00,0.9507
7-Jul-00,0.9484
10-Jul-00,0.9553
11-Jul-00,0.9524
12-Jul-00,0.9423
13-Jul-00,0.9372
14-Jul-00,0.9383
17-Jul-00,0.9366
18-Jul-00,0.9243
19-Jul-00,0.9244
20-Jul-00,0.933
21-Jul-00,0.937
24-Jul-00,0.9338
25-Jul-00,0.9384
26-Jul-00,0.9433
27-Jul-00,0.9319
28-Jul-00,0.9234
31-Jul-00,0.9263
1-Aug-00,0.9142
2-Aug-00,0.9133
3-Aug-00,0.9068
4-Aug-00,0.9081
7-Aug-00,0.9076
8-Aug-00,0.9021
9-Aug-00,0.9014
10-Aug-00,0.908
11-Aug-00,0.9025
14-Aug-00,0.9057
15-Aug-00,0.9127
16-Aug-00,0.9161
17-Aug-00,0.9164
18-Aug-00,0.9065
21-Aug-00,0.9021
22-Aug-00,0.8971
23-Aug-00,0.9012
24-Aug-00,0.9022
25-Aug-00,0.9022
28-Aug-00,0.9
29-Aug-00,0.8924
30-Aug-00,0.8945
31-Aug-00,0.8888
1-Sep-00,0.8998
4-Sep-00,0.8978
5-Sep-00,0.89
6-Sep-00,0.8699
7-Sep-00,0.8721
8-Sep-00,0.8662
11-Sep-00,0.8581
12-Sep-00,0.8637
13-Sep-00,0.8596
14-Sep-00,0.8645
15-Sep-00,0.8536
18-Sep-00,0.8536
19-Sep-00,0.8513
20-Sep-00,0.8493
21-Sep-00,0.8617
22-Sep-00,0.8761
25-Sep-00,0.8745
26-Sep-00,0.8828
27-Sep-00,0.8833
28-Sep-00,0.8794
29-Sep-00,0.8839
2-Oct-00,0.8774
3-Oct-00,0.8756
4-Oct-00,0.8752
5-Oct-00,0.869
6-Oct-00,0.8685
9-Oct-00,0.8683
10-Oct-00,0.8717
11-Oct-00,0.8659
12-Oct-00,0.8625
13-Oct-00,0.8563
16-Oct-00,0.85
17-Oct-00,0.8542
18-Oct-00,0.8392
19-Oct-00,0.8434
20-Oct-00,0.8421
23-Oct-00,0.8356
24-Oct-00,0.8359
25-Oct-00,0.8273
26-Oct-00,0.8303
27-Oct-00,0.8396
30-Oct-00,0.8401
31-Oct-00,0.8493
1-Nov-00,0.8616
2-Nov-00,0.8597
3-Nov-00,0.8667
6-Nov-00,0.8614
7-Nov-00,0.8605
8-Nov-00,0.8558
9-Nov-00,0.8663
10-Nov-00,0.8604
13-Nov-00,0.8596
14-Nov-00,0.8581
15-Nov-00,0.8574
16-Nov-00,0.8521
17-Nov-00,0.8489
20-Nov-00,0.8513
21-Nov-00,0.8434
22-Nov-00,0.8443
23-Nov-00,0.8383
24-Nov-00,0.8386
27-Nov-00,0.8516
28-Nov-00,0.8568
29-Nov-00,0.8578
30-Nov-00,0.8724
1-Dec-00,0.8787
4-Dec-00,0.8894
5-Dec-00,0.8799
6-Dec-00,0.8915
7-Dec-00,0.8896
8-Dec-00,0.8863
11-Dec-00,0.8761
12-Dec-00,0.8791
13-Dec-00,0.877
14-Dec-00,0.8907
15-Dec-00,0.8956
18-Dec-00,0.8938
19-Dec-00,0.8945
20-Dec-00,0.9097
21-Dec-00,0.9163
22-Dec-00,0.9244
25-Dec-00,0.9253
26-Dec-00,0.9311
27-Dec-00,0.9306
28-Dec-00,0.9296
29-Dec-00,0.9424
1-Jan-01,0.9407
2-Jan-01,0.9498
3-Jan-01,0.9283
4-Jan-01,0.9493
5-Jan-01,0.958
8-Jan-01,0.9478
9-Jan-01,0.9456
10-Jan-01,0.9367
11-Jan-01,0.9531
12-Jan-01,0.952
15-Jan-01,0.9425
16-Jan-01,0.9416
17-Jan-01,0.9355
18-Jan-01,0.9444
19-Jan-01,0.934
22-Jan-01,0.9395
23-Jan-01,0.9379
24-Jan-01,0.9214
25-Jan-01,0.9245
26-Jan-01,0.9242
29-Jan-01,0.9165
30-Jan-01,0.9267
31-Jan-01,0.9365
1-Feb-01,0.9391
2-Feb-01,0.9364
5-Feb-01,0.9384
6-Feb-01,0.9309
7-Feb-01,0.9282
8-Feb-01,0.9188
9-Feb-01,0.9247
12-Feb-01,0.9314
13-Feb-01,0.9209
14-Feb-01,0.9183
15-Feb-01,0.9047
16-Feb-01,0.9131
19-Feb-01,0.922
20-Feb-01,0.9123
21-Feb-01,0.9096
22-Feb-01,0.9052
23-Feb-01,0.9176
26-Feb-01,0.9118
27-Feb-01,0.9178
28-Feb-01,0.9234
1-Mar-01,0.9298
2-Mar-01,0.9347
5-Mar-01,0.9296
6-Mar-01,0.9344
7-Mar-01,0.9296
8-Mar-01,0.9324
9-Mar-01,0.9329
12-Mar-01,0.9287
13-Mar-01,0.9147
14-Mar-01,0.9109
15-Mar-01,0.8984
16-Mar-01,0.8976
19-Mar-01,0.899
20-Mar-01,0.9096
21-Mar-01,0.8962
22-Mar-01,0.8883
23-Mar-01,0.89
26-Mar-01,0.896
27-Mar-01,0.8932
28-Mar-01,0.8858
29-Mar-01,0.8827
30-Mar-01,0.8778
2-Apr-01,0.8798
3-Apr-01,0.8981
4-Apr-01,0.9013
5-Apr-01,0.8967
6-Apr-01,0.9042
9-Apr-01,0.897
10-Apr-01,0.8889
11-Apr-01,0.8883
12-Apr-01,0.8926
13-Apr-01,0.8882
16-Apr-01,0.8888
17-Apr-01,0.8839
18-Apr-01,0.8822
19-Apr-01,0.898
20-Apr-01,0.9022
23-Apr-01,0.8964
24-Apr-01,0.8942
25-Apr-01,0.8976
26-Apr-01,0.9032
27-Apr-01,0.8922
30-Apr-01,0.8881
1-May-01,0.893
2-May-01,0.8939
3-May-01,0.8897
4-May-01,0.8927
7-May-01,0.8901
8-May-01,0.8853
9-May-01,0.886
10-May-01,0.8815
11-May-01,0.8753
14-May-01,0.8743
15-May-01,0.8782
16-May-01,0.8834
17-May-01,0.8827
18-May-01,0.8814
21-May-01,0.8767
22-May-01,0.865
23-May-01,0.8565
24-May-01,0.8569
25-May-01,0.8612
28-May-01,0.8602
29-May-01,0.8558
30-May-01,0.8568
31-May-01,0.8459
1-Jun-01,0.8477
4-Jun-01,0.8465
5-Jun-01,0.8541
6-Jun-01,0.8478
7-Jun-01,0.8506
8-Jun-01,0.8508
11-Jun-01,0.8432
12-Jun-01,0.8532
13-Jun-01,0.8548
14-Jun-01,0.8623
15-Jun-01,0.8615
18-Jun-01,0.8608
19-Jun-01,0.8539
20-Jun-01,0.8547
21-Jun-01,0.8543
22-Jun-01,0.8573
25-Jun-01,0.8588
26-Jun-01,0.8638
27-Jun-01,0.8592
28-Jun-01,0.8438
29-Jun-01,0.85
2-Jul-01,0.8484
3-Jul-01,0.8486
4-Jul-01,0.8467
5-Jul-01,0.838
6-Jul-01,0.8475
9-Jul-01,0.8511
10-Jul-01,0.8548
11-Jul-01,0.8598
12-Jul-01,0.8534
13-Jul-01,0.8549
16-Jul-01,0.853
17-Jul-01,0.8599
18-Jul-01,0.8737
19-Jul-01,0.8711
20-Jul-01,0.8711
23-Jul-01,0.8691
24-Jul-01,0.8737
25-Jul-01,0.8808
26-Jul-01,0.8781
27-Jul-01,0.8777
30-Jul-01,0.8745
31-Jul-01,0.8762
1-Aug-01,0.8811
2-Aug-01,0.884
3-Aug-01,0.8844
6-Aug-01,0.8819
7-Aug-01,0.8776
8-Aug-01,0.8804
9-Aug-01,0.8924
10-Aug-01,0.8933
13-Aug-01,0.8964
14-Aug-01,0.9032
15-Aug-01,0.9142
16-Aug-01,0.9121
17-Aug-01,0.9182
20-Aug-01,0.9147
21-Aug-01,0.9178
22-Aug-01,0.9146
23-Aug-01,0.9153
24-Aug-01,0.915
27-Aug-01,0.9114
28-Aug-01,0.9126
29-Aug-01,0.9093
30-Aug-01,0.9165
31-Aug-01,0.9124
3-Sep-01,0.9072
4-Sep-01,0.8886
5-Sep-01,0.8857
6-Sep-01,0.8961
7-Sep-01,0.9074
10-Sep-01,0.8981
11-Sep-01,0.9143
12-Sep-01,0.9069
13-Sep-01,0.9112
14-Sep-01,0.9208
17-Sep-01,0.9244
18-Sep-01,0.9275
19-Sep-01,0.9268
20-Sep-01,0.9279
21-Sep-01,0.9149
24-Sep-01,0.917
25-Sep-01,0.9233
26-Sep-01,0.9233
27-Sep-01,0.9183
28-Sep-01,0.9117
1-Oct-01,0.9175
2-Oct-01,0.919
3-Oct-01,0.9146
4-Oct-01,0.9181
5-Oct-01,0.9185
8-Oct-01,0.9213
9-Oct-01,0.9132
10-Oct-01,0.9112
11-Oct-01,0.9024
12-Oct-01,0.9116
15-Oct-01,0.9094
16-Oct-01,0.9083
17-Oct-01,0.9038
18-Oct-01,0.9029
19-Oct-01,0.8992
22-Oct-01,0.8922
23-Oct-01,0.8902
24-Oct-01,0.8941
25-Oct-01,0.8924
26-Oct-01,0.8932
29-Oct-01,0.9047
30-Oct-01,0.9046
31-Oct-01,0.8998
1-Nov-01,0.9027
2-Nov-01,0.9023
5-Nov-01,0.8981
6-Nov-01,0.8951
7-Nov-01,0.8985
8-Nov-01,0.8928
9-Nov-01,0.8942
12-Nov-01,0.8944
13-Nov-01,0.881
14-Nov-01,0.8831
15-Nov-01,0.8821
16-Nov-01,0.8842
19-Nov-01,0.8786
20-Nov-01,0.883
21-Nov-01,0.8791
22-Nov-01,0.8777
23-Nov-01,0.8781
26-Nov-01,0.8805
27-Nov-01,0.8834
28-Nov-01,0.8879
29-Nov-01,0.8876
30-Nov-01,0.8965
3-Dec-01,0.8916
4-Dec-01,0.8901
5-Dec-01,0.8883
6-Dec-01,0.895
7-Dec-01,0.8896
10-Dec-01,0.8908
11-Dec-01,0.8928
12-Dec-01,0.898
13-Dec-01,0.8926
14-Dec-01,0.9028
17-Dec-01,0.9021
18-Dec-01,0.9032
19-Dec-01,0.9006
20-Dec-01,0.9007
21-Dec-01,0.888
24-Dec-01,0.8777
25-Dec-01,0.8767
26-Dec-01,0.8801
27-Dec-01,0.883
28-Dec-01,0.8836
31-Dec-01,0.8909
1-Jan-02,0.8895
2-Jan-02,0.9036
3-Jan-02,0.8996
4-Jan-02,0.895
7-Jan-02,0.8935
8-Jan-02,0.8931
9-Jan-02,0.8914
10-Jan-02,0.8914
11-Jan-02,0.8926
14-Jan-02,0.8944
15-Jan-02,0.8834
16-Jan-02,0.8829
17-Jan-02,0.8806
18-Jan-02,0.8843
21-Jan-02,0.8838
22-Jan-02,0.8861
23-Jan-02,0.8779
24-Jan-02,0.8774
25-Jan-02,0.8661
28-Jan-02,0.8627
29-Jan-02,0.8655
30-Jan-02,0.8617
31-Jan-02,0.8585
1-Feb-02,0.8621
4-Feb-02,0.8706
5-Feb-02,0.8677
6-Feb-02,0.8676
7-Feb-02,0.871
8-Feb-02,0.8735
11-Feb-02,0.8764
12-Feb-02,0.8765
13-Feb-02,0.8712
14-Feb-02,0.8739
15-Feb-02,0.8734
18-Feb-02,0.8709
19-Feb-02,0.8766
20-Feb-02,0.8694
21-Feb-02,0.8698
22-Feb-02,0.8757
25-Feb-02,0.8691
26-Feb-02,0.8638
27-Feb-02,0.8656
28-Feb-02,0.8686
1-Mar-02,0.8649
4-Mar-02,0.8696
5-Mar-02,0.8726
6-Mar-02,0.8766
7-Mar-02,0.8824
8-Mar-02,0.8739
11-Mar-02,0.8752
12-Mar-02,0.8758
13-Mar-02,0.8763
14-Mar-02,0.883
15-Mar-02,0.8824
18-Mar-02,0.8826
19-Mar-02,0.8826
20-Mar-02,0.8853
21-Mar-02,0.8822
22-Mar-02,0.877
25-Mar-02,0.8778
26-Mar-02,0.8769
27-Mar-02,0.8729
28-Mar-02,0.8704
29-Mar-02,0.8718
1-Apr-02,0.8805
2-Apr-02,0.8794
3-Apr-02,0.8805
4-Apr-02,0.8776
5-Apr-02,0.879
8-Apr-02,0.8746
9-Apr-02,0.8811
10-Apr-02,0.8802
11-Apr-02,0.8825
12-Apr-02,0.8802
15-Apr-02,0.8793
16-Apr-02,0.8826
17-Apr-02,0.8905
18-Apr-02,0.8911
19-Apr-02,0.8922
22-Apr-02,0.8893
23-Apr-02,0.8887
24-Apr-02,0.893
25-Apr-02,0.8979
26-Apr-02,0.9018
29-Apr-02,0.9041
30-Apr-02,0.9002
1-May-02,0.9064
2-May-02,0.9032
3-May-02,0.9173
6-May-02,0.9184
7-May-02,0.9153
8-May-02,0.9046
9-May-02,0.9096
10-May-02,0.914
13-May-02,0.9116
14-May-02,0.9026
15-May-02,0.9125
16-May-02,0.9114
17-May-02,0.9205
20-May-02,0.9213
21-May-02,0.9202
22-May-02,0.9257
23-May-02,0.9211
24-May-02,0.9203
27-May-02,0.9209
28-May-02,0.9282
29-May-02,0.9348
30-May-02,0.9372
31-May-02,0.9339
3-Jun-02,0.9413
4-Jun-02,0.9394
5-Jun-02,0.9391
6-Jun-02,0.9475
7-Jun-02,0.9438
10-Jun-02,0.9442
11-Jun-02,0.9484
12-Jun-02,0.9435
13-Jun-02,0.9432
14-Jun-02,0.9461
17-Jun-02,0.9446
18-Jun-02,0.9522
19-Jun-02,0.9577
20-Jun-02,0.9649
21-Jun-02,0.9708
24-Jun-02,0.9706
25-Jun-02,0.98
26-Jun-02,0.9815
27-Jun-02,0.9878
28-Jun-02,0.9918
1-Jul-02,0.992
2-Jul-02,0.9865
3-Jul-02,0.9808
4-Jul-02,0.9791
5-Jul-02,0.9723
8-Jul-02,0.9913
9-Jul-02,0.9931
10-Jul-02,0.9894
11-Jul-02,0.9883
12-Jul-02,0.9911
15-Jul-02,1.003
16-Jul-02,1.0116
17-Jul-02,1.0072
18-Jul-02,1.0118
19-Jul-02,1.0116
22-Jul-02,1.0083
23-Jul-02,0.9898
24-Jul-02,0.9955
25-Jul-02,1.0053
26-Jul-02,0.9859
29-Jul-02,0.9813
30-Jul-02,0.9825
31-Jul-02,0.9775
1-Aug-02,0.9843
2-Aug-02,0.9871
5-Aug-02,0.9803
6-Aug-02,0.9662
7-Aug-02,0.9749
8-Aug-02,0.9673
9-Aug-02,0.9699
12-Aug-02,0.9793
13-Aug-02,0.9843
14-Aug-02,0.979
15-Aug-02,0.9818
16-Aug-02,0.9844
19-Aug-02,0.9767
20-Aug-02,0.9785
21-Aug-02,0.9812
22-Aug-02,0.9693
23-Aug-02,0.9725
26-Aug-02,0.972
27-Aug-02,0.9829
28-Aug-02,0.9786
29-Aug-02,0.9846
30-Aug-02,0.982
2-Sep-02,0.9845
3-Sep-02,0.9974
4-Sep-02,0.9919
5-Sep-02,0.9911
6-Sep-02,0.9811
9-Sep-02,0.9797
10-Sep-02,0.9751
11-Sep-02,0.9759
12-Sep-02,0.9814
13-Sep-02,0.9713
16-Sep-02,0.9688
17-Sep-02,0.9745
18-Sep-02,0.9782
19-Sep-02,0.987
20-Sep-02,0.9824
23-Sep-02,0.9782
24-Sep-02,0.9819
25-Sep-02,0.9765
26-Sep-02,0.977
27-Sep-02,0.9808
30-Sep-02,0.9868
1-Oct-02,0.983
2-Oct-02,0.9867
3-Oct-02,0.9884
4-Oct-02,0.9794
7-Oct-02,0.9831
8-Oct-02,0.9787
9-Oct-02,0.9896
10-Oct-02,0.9863
11-Oct-02,0.9876
14-Oct-02,0.9873
15-Oct-02,0.9818
16-Oct-02,0.9808
17-Oct-02,0.9707
18-Oct-02,0.9719
21-Oct-02,0.9734
22-Oct-02,0.9781
23-Oct-02,0.9756
24-Oct-02,0.9779
25-Oct-02,0.9758
28-Oct-02,0.9848
29-Oct-02,0.9834
30-Oct-02,0.9838
31-Oct-02,0.9907
1-Nov-02,0.9969
4-Nov-02,0.998
5-Nov-02,0.9998
6-Nov-02,1.0025
7-Nov-02,1.0094
8-Nov-02,1.013
11-Nov-02,1.0105
12-Nov-02,1.0125
13-Nov-02,1.0081
14-Nov-02,1.0045
15-Nov-02,1.0095
18-Nov-02,1.0086
19-Nov-02,1.0032
20-Nov-02,1.0013
21-Nov-02,1.0021
22-Nov-02,0.997
25-Nov-02,0.9916
26-Nov-02,0.9936
27-Nov-02,0.9904
28-Nov-02,0.9944
29-Nov-02,0.9946
2-Dec-02,0.9969
3-Dec-02,0.9964
4-Dec-02,1.0006
